kind,name,status,files,lat,lon,count,events,details
start,01.csv start,,01.csv,30.309324,120.248619,,,2026-01-01 00:05:11
end,01.csv end,,01.csv,30.31286,120.244583,,,2026-05-01 19:01:59
start,02.csv start,,02.csv,30.277372,120.206467,,,2026-01-01 00:00:05
end,02.csv end,,02.csv,30.276644,120.206375,,,2026-05-30 23:59:55
start,03.csv start,,03.csv,30.310518,120.248314,,,2026-01-01 00:00:06
end,03.csv end,,03.csv,30.309372,120.247513,,,2026-05-30 23:55:21
start,04.csv start,,04.csv,30.276697,120.206383,,,2026-01-01 00:00:01
end,04.csv end,,04.csv,30.277315,120.206421,,,2026-05-30 23:59:53
start,05.csv start,,05.csv,30.277,120.206718,,,2026-01-01 00:36:44
end,05.csv end,,05.csv,30.276876,120.206306,,,2026-05-30 23:59:57
charging_location,charge-1,,"02.csv,04.csv,05.csv",30.277197,120.206469,203266,,2026-01-01 00:00:01 至 2026-05-30 23:59:55
charging_location,charge-2,,"01.csv,02.csv,03.csv,04.csv,05.csv",30.310091,120.248428,141322,,2026-01-01 00:00:06 至 2026-05-30 23:55:21
charging_location,charge-3,,"01.csv,02.csv,03.csv,04.csv",30.313073,120.247742,6066,,2026-01-01 23:45:18 至 2026-05-26 01:00:13
charging_location,charge-4,,"01.csv,02.csv,03.csv,04.csv",30.308527,120.249364,4037,,2026-01-01 23:42:15 至 2026-05-27 23:29:57
charging_location,charge-5,,"01.csv,02.csv,03.csv,04.csv",30.311677,120.248328,1874,,2026-01-02 23:26:05 至 2026-05-21 23:50:17
charging_location,charge-6,,"01.csv,03.csv,04.csv",30.310451,120.245555,1568,,2026-01-03 22:35:10 至 2026-05-22 00:18:57
charging_location,charge-7,,"01.csv,02.csv,03.csv,04.csv",30.308514,120.246887,1416,,2026-01-03 22:33:07 至 2026-05-21 23:39:57
charging_location,charge-8,,"01.csv,02.csv,03.csv,04.csv",30.31029,120.251085,1158,,2026-01-06 23:05:46 至 2026-05-23 00:16:11
charging_location,charge-9,,"01.csv,02.csv,03.csv,04.csv",30.313067,120.245782,588,,2026-01-11 23:52:27 至 2026-05-21 23:34:47
charging_location,charge-10,,"01.csv,03.csv",30.310478,120.246771,544,,2026-01-12 22:35:34 至 2026-05-18 23:55:37
charging_location,charge-11,,"01.csv,03.csv,04.csv",30.314176,120.25005,544,,2026-01-15 23:07:43 至 2026-05-18 22:55:47
charging_location,charge-12,,"01.csv,03.csv",30.308601,120.24288,504,,2026-02-05 23:48:05 至 2026-05-08 23:54:58
charging_location,charge-13,,"01.csv,03.csv,04.csv",30.307185,120.245186,480,,2026-01-13 00:20:48 至 2026-04-23 00:16:23
charging_location,charge-14,,03.csv,30.306044,120.247826,425,,2026-01-31 22:38:28 至 2026-01-31 23:49:08
charging_location,charge-15,,03.csv,30.30519,120.254147,323,,2026-04-28 23:52:19 至 2026-04-29 00:45:59
charging_location,charge-16,,"01.csv,03.csv,04.csv",30.312342,120.251632,278,,2026-02-03 23:08:00 至 2026-04-27 23:25:14
charging_location,charge-17,,03.csv,30.297844,120.250702,103,,2026-04-07 22:30:15 至 2026-04-07 22:47:15
charging_location,charge-18,,"01.csv,03.csv",30.31286,120.251321,84,,2026-02-06 23:11:06 至 2026-04-28 22:56:56
charging_location,charge-19,,04.csv,30.315631,120.249261,65,,2026-03-19 23:13:30 至 2026-03-19 23:27:40
charging_location,charge-20,,"01.csv,03.csv",30.311779,120.244555,59,,2026-02-17 23:21:05 至 2026-04-09 22:56:00
charging_location,charge-21,,03.csv,30.309718,120.238881,39,,2026-02-05 23:48:35 至 2026-02-17 23:19:35
charging_location,charge-22,,03.csv,30.311945,120.245832,38,,2026-01-11 23:52:37 至 2026-02-17 23:21:55
charging_location,charge-23,,"03.csv,04.csv",30.309072,120.241485,37,,2026-02-01 23:14:43 至 2026-05-21 22:48:07
charging_location,charge-24,,"01.csv,03.csv,04.csv",30.306665,120.249244,32,,2026-01-07 23:56:03 至 2026-04-13 22:41:36
charging_location,charge-25,,04.csv,30.317643,120.248916,30,,2026-01-03 22:30:47 至 2026-03-19 23:17:00
charging_location,charge-26,,"01.csv,04.csv",30.309364,120.25131,27,,2026-02-08 23:32:23 至 2026-04-30 23:08:23
charging_location,charge-27,,03.csv,30.315265,120.246654,27,,2026-02-20 23:17:42 至 2026-02-20 23:22:02
charging_location,charge-28,,03.csv,30.310988,120.238184,25,,2026-02-17 23:10:55 至 2026-02-17 23:14:55
charging_location,charge-29,,"03.csv,04.csv",30.314905,120.2508,21,,2026-02-01 23:07:03 至 2026-05-06 23:48:15
charging_location,charge-30,,03.csv,30.309208,120.243789,15,,2026-05-08 22:46:39 至 2026-05-08 22:49:29
charging_location,charge-31,,01.csv,30.306679,120.245939,13,,2026-03-26 23:08:03 至 2026-03-26 23:10:03
charging_location,charge-32,,"01.csv,03.csv",30.307417,120.253152,10,,2026-01-01 23:43:05 至 2026-04-28 23:52:09
charging_location,charge-33,,03.csv,30.308708,120.236397,1,,2026-02-05 23:48:55 至 2026-02-05 23:48:55
bus_stop,景芳北站,confirmed,"02.csv,04.csv,05.csv",30.2769696,120.2065659,,5409,停靠5409次，累计1650253秒
bus_stop,浙医一院,confirmed,"02.csv,03.csv,04.csv,05.csv",30.2604743,120.1711173,,2468,停靠2468次，累计117460秒
bus_stop,福临街普照巷口,confirmed,"01.csv,03.csv",30.311241,120.2402464,,2454,停靠2454次，累计775321秒
bus_stop,众安桥,confirmed,"02.csv,03.csv,04.csv,05.csv",30.260563,120.166127,,2388,停靠2388次，累计179703秒
bus_stop,众安桥,confirmed,"02.csv,03.csv,04.csv,05.csv",30.2602647,120.1654034,,2251,停靠2251次，累计120500秒
bus_stop,九堡,confirmed,"01.csv,03.csv",30.3093492,120.2620876,,1921,停靠1921次，累计106788秒
bus_stop,庆春路浣纱路口,confirmed,"02.csv,04.csv,05.csv",30.2606925,120.162961,,1724,停靠1724次，累计87450秒
bus_stop,红菱新村,confirmed,"02.csv,04.csv,05.csv",30.2648598,120.1955963,,1548,停靠1548次，累计74470秒
bus_stop,庆春路红菱新村,confirmed,"02.csv,04.csv,05.csv",30.2601376,120.1944559,,1465,停靠1465次，累计81980秒
bus_stop,六公园,confirmed,"02.csv,04.csv,05.csv",30.2614674,120.1558506,,1394,停靠1394次，累计381809秒
bus_stop,地铁九和路站,confirmed,"01.csv,02.csv,03.csv,04.csv",30.3083611,120.2490035,,1292,停靠1292次，累计45920秒
bus_stop,六公园,confirmed,"02.csv,04.csv,05.csv",30.2611912,120.1565717,,1193,停靠1193次，累计77190秒
bus_stop,景芳水湘苑,confirmed,"02.csv,04.csv,05.csv",30.2729788,120.2081795,,1167,停靠1167次，累计63176秒
bus_stop,庆春路红菱新村,confirmed,"02.csv,04.csv,05.csv",30.2598866,120.1938813,,942,停靠942次，累计44850秒
bus_stop,皮市巷,confirmed,"02.csv,03.csv,04.csv,05.csv",30.2602219,120.1700652,,937,停靠937次，累计42690秒
bus_stop,景芳一区南,confirmed,"02.csv,04.csv,05.csv",30.2667748,120.1994044,,802,停靠802次，累计38533秒
bus_stop,九和路九盛路口,confirmed,"01.csv,03.csv",30.3103286,120.2551836,,705,停靠705次，累计24450秒
bus_stop,福临街普照巷口,confirmed,"01.csv,03.csv",30.3113938,120.2398735,,702,停靠702次，累计239940秒
bus_stop,运新花苑,confirmed,"02.csv,04.csv,05.csv",30.2731901,120.2189153,,685,停靠685次，累计256518秒
bus_stop,吴山广场紫薇园,confirmed,"02.csv,04.csv,05.csv",30.2448866,120.1606941,,669,停靠669次，累计162378秒
bus_stop,九和路九环路口,confirmed,"01.csv,03.csv",30.3097333,120.253229,,631,停靠631次，累计13500秒
bus_stop,六公园,confirmed,"02.csv,04.csv,05.csv",30.2612779,120.1555763,,590,停靠590次，累计52402秒
bus_stop,浙医一院,confirmed,"02.csv,03.csv,04.csv,05.csv",30.2601951,120.1743036,,586,停靠586次，累计18470秒
bus_stop,景芳六区,confirmed,"02.csv,04.csv,05.csv",30.2730086,120.2054474,,583,停靠583次，累计17000秒
bus_stop,普福公寓,confirmed,"01.csv,03.csv",30.3124003,120.2443847,,561,停靠561次，累计13300秒
bus_stop,大学路北口,confirmed,"02.csv,04.csv,05.csv",30.2605829,120.1777981,,557,停靠557次，累计21590秒
bus_stop,胡雪岩故居,confirmed,"02.csv,04.csv,05.csv",30.239988,120.1692285,,554,停靠554次，累计22480秒
bus_stop,景芳四区,confirmed,"02.csv,04.csv,05.csv",30.2728348,120.2019659,,505,停靠505次，累计25520秒
bus_stop,胡雪岩故居,confirmed,"02.csv,04.csv,05.csv",30.239847,120.1687755,,486,停靠486次，累计23500秒
bus_stop,红五月社区,confirmed,"01.csv,02.csv,03.csv,04.csv,05.csv",30.3107027,120.2480978,,412,停靠412次，累计111686秒
bus_stop,地铁九和路站,confirmed,"01.csv,02.csv,03.csv,04.csv,05.csv",30.3086428,120.2490992,,392,停靠392次，累计57757秒
bus_stop,九和路九环路口,confirmed,"01.csv,03.csv,04.csv",30.3098476,120.2526289,,362,停靠362次，累计8750秒
bus_stop,众安桥北,confirmed,"02.csv,04.csv,05.csv",30.2610614,120.16477,,360,停靠360次，累计24860秒
bus_stop,庆春广场,confirmed,"02.csv,04.csv,05.csv",30.2600336,120.1999521,,328,停靠328次，累计18430秒
bus_stop,省青春医院,confirmed,"02.csv,05.csv",30.2601491,120.1889698,,324,停靠324次，累计9010秒
bus_stop,红菱新村,confirmed,"02.csv,05.csv",30.2642698,120.1960068,,317,停靠317次，累计16710秒
bus_stop,六公园,confirmed,"02.csv,04.csv,05.csv",30.2610497,120.1555996,,309,停靠309次，累计9960秒
bus_stop,庆春路浣纱路口,confirmed,"02.csv,05.csv",30.2604329,120.1621964,,303,停靠303次，累计9693秒
bus_stop,总管塘,confirmed,"02.csv,04.csv,05.csv",30.2467446,120.1898982,,287,停靠287次，累计7120秒
bus_stop,省青春医院,confirmed,"02.csv,04.csv,05.csv",30.2599097,120.1895369,,284,停靠284次，累计10700秒
bus_stop,双菱新村12幢,confirmed,"02.csv,04.csv,05.csv",30.2592132,120.1909634,,283,停靠283次，累计14850秒
bus_stop,清河坊,confirmed,"02.csv,04.csv,05.csv",30.2429175,120.1668952,,274,停靠274次，累计8900秒
bus_stop,莫邪塘,confirmed,"02.csv,04.csv,05.csv",30.2453541,120.1821445,,258,停靠258次，累计6950秒
bus_stop,庆春广场南,confirmed,"02.csv,04.csv,05.csv",30.2601468,120.2008702,,254,停靠254次，累计10330秒
bus_stop,大学路北口,confirmed,"02.csv,04.csv,05.csv",30.2605828,120.1780049,,248,停靠248次，累计8920秒
bus_stop,鼓楼,confirmed,"02.csv,04.csv,05.csv",30.2419935,120.1678704,,226,停靠226次，累计10460秒
bus_stop,九和路,confirmed,"01.csv,02.csv,03.csv,04.csv,05.csv",30.3083641,120.2487181,,225,停靠225次，累计19734秒
bus_stop,景芳二区,confirmed,"02.csv,05.csv",30.2704813,120.1992595,,225,停靠225次，累计4971秒
bus_stop,邵逸夫医院庆春院区,confirmed,"02.csv,04.csv,05.csv",30.2596695,120.1972344,,220,停靠220次，累计13750秒
bus_stop,庆春广场南,confirmed,"02.csv,04.csv,05.csv",30.2598477,120.1983215,,197,停靠197次，累计7160秒
bus_stop,普福公寓,confirmed,"01.csv,03.csv",30.3123562,120.2440396,,189,停靠189次，累计4410秒
bus_stop,景芳二区,confirmed,"02.csv,04.csv,05.csv",30.2706481,120.1990905,,186,停靠186次，累计4312秒
bus_stop,普照巷,confirmed,"01.csv,03.csv",30.310375,120.2392352,,183,停靠183次，累计4180秒
bus_stop,景芳四区,confirmed,"02.csv,04.csv,05.csv",30.2729659,120.2007448,,181,停靠181次，累计5250秒
bus_stop,红菱新村,confirmed,"02.csv,05.csv",30.2639702,120.1960281,,176,停靠176次，累计10240秒
bus_stop,望江新园一园,confirmed,"02.csv,04.csv,05.csv",30.2380159,120.1790461,,174,停靠174次，累计4660秒
bus_stop,总管塘,confirmed,"02.csv,04.csv,05.csv",30.2459558,120.1908888,,170,停靠170次，累计4050秒
bus_stop,大学路北口,confirmed,"02.csv,05.csv",30.2602717,120.1794258,,168,停靠168次，累计4480秒
bus_stop,地铁钱江路站北,confirmed,"02.csv,04.csv,05.csv",30.2608885,120.207023,,155,停靠155次，累计3600秒
bus_stop,凤起东路景昙路口,confirmed,"02.csv,05.csv",30.2658366,120.1979506,,153,停靠153次，累计6310秒
bus_stop,采荷芙蓉邨,confirmed,"02.csv,04.csv,05.csv",30.2543038,120.1901078,,150,停靠150次，累计4910秒
bus_stop,铁佛寺桥,confirmed,"02.csv,04.csv,05.csv",30.2447786,120.1675102,,149,停靠149次，累计7220秒
bus_stop,景芳六区,confirmed,"02.csv,05.csv",30.2727931,120.204801,,131,停靠131次，累计4550秒
bus_stop,五福苑二苑,confirmed,"02.csv,04.csv,05.csv",30.2633964,120.2077699,,125,停靠125次，累计3020秒
bus_stop,景芳水湘苑,confirmed,"02.csv,04.csv,05.csv",30.2728096,120.2079407,,124,停靠124次，累计3460秒
bus_stop,庆菱路,confirmed,"02.csv,05.csv",30.2600544,120.1884346,,119,停靠119次，累计3101秒
bus_stop,普福家园北区,confirmed,"01.csv,03.csv",30.3120746,120.2410966,,115,停靠115次，累计2950秒
bus_stop,杨家埠桥,confirmed,"01.csv,03.csv",30.3115121,120.2430874,,101,停靠101次，累计2410秒
bus_stop,景芳四区总站,confirmed,"02.csv,05.csv",30.2730836,120.2013376,,89,停靠89次，累计2400秒
bus_stop,运新花苑,confirmed,"02.csv,04.csv,05.csv",30.2731725,120.2192243,,89,停靠89次，累计22750秒
bus_stop,双菱新村12幢,confirmed,"02.csv,04.csv,05.csv",30.2589676,120.1911324,,86,停靠86次，累计3240秒
bus_stop,景芳四区,confirmed,"02.csv,05.csv",30.2729679,120.2018659,,78,停靠78次，累计3080秒
bus_stop,望江新园一园,confirmed,"02.csv,04.csv,05.csv",30.2378058,120.1796946,,78,停靠78次，累计1950秒
bus_stop,望江新园三园,confirmed,"02.csv,04.csv,05.csv",30.2389719,120.1809135,,77,停靠77次，累计1860秒
bus_stop,省青春医院,confirmed,"02.csv,05.csv",30.26017,120.1886111,,72,停靠72次，累计2240秒
bus_stop,铁佛寺桥,confirmed,"02.csv,04.csv,05.csv",30.2446744,120.1678804,,68,停靠68次，累计2790秒
bus_stop,地铁九堡站C口,confirmed,"01.csv,03.csv",30.3102271,120.2608217,,67,停靠67次，累计1570秒
bus_stop,双菱小区,confirmed,"02.csv,04.csv,05.csv",30.2567875,120.1911432,,66,停靠66次，累计2190秒
bus_stop,凯铁新村,confirmed,"02.csv,04.csv,05.csv",30.2521267,120.1852002,,65,停靠65次，累计1700秒
bus_stop,地铁钱江路站（A·C）,confirmed,"02.csv,04.csv,05.csv",30.2587579,120.2085925,,64,停靠64次，累计3890秒
bus_stop,采荷街道社区卫生服务中心,confirmed,"02.csv,04.csv,05.csv",30.2555317,120.191119,,59,停靠59次，累计1590秒
bus_stop,凯旋路36号,confirmed,"02.csv,04.csv,05.csv",30.2501264,120.1841024,,56,停靠56次，累计1660秒
bus_stop,吴山广场东,confirmed,"02.csv,04.csv,05.csv",30.2431311,120.16173,,56,停靠56次，累计2010秒
